document_id,range_from,range_to,sequence_size,qm_size,em_size,ner_person,ner_organization,ner_country,sentiment,sadness,joy,fear,disgust,anger,sadness
111111114,1705,1826,121.00,0,0,,,,2.00,0.141368,0.009239,0.856184,0.107142,0.11845,0.141368
111111115,658,700,42.00,0,0,his,,,1.00,0.301854,0.072846,0.065253,0.569991,0.171704,0.301854
111111115,1870,1893,23.00,0,0,,,,2.00,0.050751,0.182482,0.051643,0.72896,0.152311,0.050751
111111115,1655,1746,91.00,0,0,"Franken, he",,,1.00,0.247994,0.211812,0.093219,0.087995,0.090301,0.247994
111111115,2389,2418,29.00,0,0,,,,2.00,0.525558,0.105724,0.137522,0.21934,0.197408,0.525558
111111117,671,754,83.00,0,0,,,,2.00,0.762187,0.100895,0.070658,0.059222,0.066523,0.762187
111111122,24,49,25.00,0,0,Trump,,,2.00,0.22567,0.120866,0.134306,0.263388,0.303012,0.22567
111111122,170,206,36.00,0,0,,,,3.00,0.338216,0.521016,0.032664,0.053527,0.071801,0.338216
111111122,343,357,14.00,0,0,,,,2.00,0,0,0,0,0,0
111111122,449,478,29.00,0,0,"his, Trump",,,1.00,0.272609,0.00874,0.139472,0.38941,0.333573,0.272609
111111122,888,956,68.00,0,0,,,,3.00,0.532791,0.204967,0.067994,0.097866,0.036511,0.532791
111111122,1475,1522,47.00,0,0,"him, Trump",,,3.00,0.214349,0.234464,0.157434,0.095103,0.108551,0.214349
111111122,1636,1656,20.00,0,0,,,,2.00,0.302102,0.137582,0.238043,0.183473,0.22481,0.302102
111111122,3210,3224,14.00,0,0,,,,1.00,0,0,0,0,0,0
111111122,3413,3440,27.00,0,0,Trump,,,2.00,0.14424,0.466765,0.051346,0.035881,0.05503,0.14424
111111122,3489,3520,31.00,0,0,,,,3.00,0.435893,0.242338,0.061631,0.047701,0.059041,0.435893
111111122,3991,4047,56.00,0,0,"his, Trump",White House,,1.00,0.556722,0.02682,0.165577,0.257792,0.260039,0.556722
111111122,4449,4469,20.00,0,0,,,,2.00,0.186667,0.204614,0.080796,0.33419,0.109162,0.186667
111111122,5027,5060,33.00,0,0,,,,2.00,0.16732,0.178748,0.14128,0.310972,0.427763,0.16732
111111122,5131,5141,10.00,0,0,,,,1.00,0,0,0,0,0,0
111111122,5529,5653,124.00,0,0,Richard Neustadt,,,1.00,0.413787,0.090395,0.068529,0.130641,0.258748,0.413787
111111122,5778,5798,20.00,0,0,,,,2.00,0.302102,0.137582,0.238043,0.183473,0.22481,0.302102
111111122,5840,5921,81.00,0,0,he,,,2.00,0.269525,0.06416,0.208055,0.211891,0.09638,0.269525
111111122,5950,5981,31.00,0,0,,,,3.00,0.302435,0.230359,0.129646,0.08832,0.099722,0.302435
111111122,6441,6452,11.00,0,0,,,,2.00,0,0,0,0,0,0
111111122,6839,6868,29.00,0,0,,,,2.00,0.283286,0.032109,0.210607,0.357646,0.291211,0.283286
111111123,4321,4334,13.00,0,0,,,,1.00,0,0,0,0,0,0
111111124,2650,2662,12.00,0,0,,,,2.00,0,0,0,0,0,0
111111124,4098,4111,13.00,0,0,,,,2.00,0,0,0,0,0,0
111111124,4622,4760,138.00,0,0,his,,,1.00,0.227434,0.342137,0.045074,0.288685,0.180299,0.227434
111111124,3368,3381,13.00,0,0,,,,2.00,0,0,0,0,0,0
111111124,0,18,18.00,0,0,,,,2.00,0.148831,0.177442,0.091248,0.074744,0.105227,0.148831
111111124,107,123,16.00,0,0,,,,2.00,0.0,0.0,0.0,0.0,0.0,0.0
111111124,282,338,56.00,0,0,,,,2.00,0.35769,0.263272,0.070954,0.100858,0.10683,0.35769
111111124,510,541,31.00,0,0,,FBI,,2.00,0.240113,0.130013,0.136932,0.318285,0.181092,0.240113
111111124,2478,2502,24.00,0,0,,,,2.00,0.101213,0.255767,0.026271,0.369273,0.302356,0.101213
111111124,3557,3590,33.00,0,0,,,,2.00,0.143566,0.157991,0.015687,0.098609,0.151273,0.143566
111111124,4170,4377,207.00,0,0,"his, Trump, he",,,1.00,0.471445,0.068618,0.050179,0.23408,0.187164,0.471445
111111124,4540,4576,36.00,0,0,,,,2.00,0.263313,0.172928,0.061383,0.261438,0.147141,0.263313
111111124,4920,4936,16.00,0,0,,,,2.00,0,0,0,0,0,0
111111124,4144,4164,20.00,0,0,,,,2.00,0.137406,0.014425,0.142004,0.508438,0.373265,0.137406
111111131,84,97,13.00,0,0,,,,2.00,0.0,0.0,0.0,0.0,0.0,0.0
111111131,102,109,7.00,0,0,,,,2.00,0,0,0,0,0,0
111111131,180,190,10.00,0,0,,,,2.00,0,0,0,0,0,0
111111131,207,214,7.00,0,0,,,,2.00,0,0,0,0,0,0
111111131,326,336,10.00,0,0,,,,3.00,0,0,0,0,0,0
111111131,352,365,13.00,0,0,,,,4.00,0,0,0,0,0,0
111111131,382,395,13.00,0,0,,,,3.00,0,0,0,0,0,0
111111131,398,413,15.00,0,0,,,,2.00,0.061905,0.179272,0.117672,0.51399,0.14378,0.061905
111111131,723,731,8.00,0,0,,,,3.00,0,0,0,0,0,0
111111131,804,811,7.00,0,0,,,,2.00,0,0,0,0,0,0
111111131,823,866,43.00,0,0,Trump,,,2.00,0.530521,0.04044,0.081752,0.053566,0.299221,0.530521
111111131,1031,1068,37.00,0,0,,,,3.00,0.315289,0.293333,0.092227,0.185657,0.26061,0.315289
111111131,1191,1201,10.00,0,0,,,,2.00,0.0,0.0,0.0,0.0,0.0,0.0
111111131,1977,1992,15.00,0,0,,,,2.00,0,0,0,0,0,0
111111131,2660,2671,11.00,0,0,,,,2.00,0.0,0.0,0.931034,0.931034,0.931034,0.0
111111131,2728,2739,11.00,0,0,,,,2.00,0,0,0,0,0,0
111111131,2897,2908,11.00,0,0,,,,2.00,0,0,0,0,0,0
111111131,2912,2923,11.00,0,0,,,,2.00,0.203878,0.201999,0.22801,0.118594,0.073893,0.203878
111111131,2953,2997,44.00,0,0,,,,1.00,0.286245,0.269533,0.046863,0.055168,0.098943,0.286245
111111131,3396,3416,20.00,0,0,,,,2.00,0.088877,0.142901,0.261569,0.069861,0.555595,0.088877
111111131,3437,3445,8.00,0,0,,,,3.00,0,0,0,0,0,0
111111131,3738,3748,10.00,0,0,,,,2.00,0,0,0,0,0,0
111111131,4008,4014,6.00,0,0,,,,2.00,0,0,0,0,0,0
111111131,4030,4038,8.00,0,0,,,,3.00,0,0,0,0,0,0
111111131,4152,4169,17.00,0,0,,,,3.00,0.129127,0.538711,0.09794,0.117115,0.088439,0.129127
111111131,4224,4230,6.00,0,0,,,,2.00,0,0,0,0,0,0
111111131,4256,4264,8.00,0,0,,,,2.00,0,0,0,0,0,0
111111131,4339,4352,13.00,0,0,,,,3.00,0.0,0.0,0.0,0.0,0.0,0.0
111111131,4531,4546,15.00,0,0,,,,2.00,0,0,0,0,0,0
111111131,4635,4643,8.00,0,0,,,,3.00,0.0,0.0,0.0,0.0,0.0,0.0
111111131,4752,4768,16.00,0,0,,,,2.00,0.151545,0.1687,0.093654,0.103346,0.100634,0.151545
111111131,4882,4899,17.00,0,0,,,,2.00,0.151545,0.174219,0.093654,0.072945,0.08686,0.151545
111111131,5174,5186,12.00,0,0,,,,3.00,0.0,0.0,0.0,0.0,0.0,0.0
111111131,5244,5262,18.00,0,0,,,,2.00,0.1255,0.506089,0.098845,0.042645,0.054392,0.1255
111111131,5281,5289,8.00,0,0,,,,3.00,0,0,0,0,0,0
111111131,5369,5378,9.00,0,0,,,,2.00,0.0,0.0,0.0,0.0,0.0,0.0
111111131,5904,5916,12.00,0,0,,,,2.00,0,0,0,0,0,0
111111131,5938,5950,12.00,0,0,,,,2.00,0,0,0,0,0,0
111111131,6920,6937,17.00,0,0,,,,3.00,0.049265,0.202549,0.296711,0.094023,0.518527,0.049265
111111131,6957,6971,14.00,0,0,,,,2.00,0.18812,0.532664,0.057557,0.080616,0.068864,0.18812
111111131,7314,7324,10.00,0,0,,,,2.00,0,0,0,0,0,0
111111131,7700,7708,8.00,0,0,,,,2.00,0,0,0,0,0,0
111111132,7925,7943,18.00,0,0,,,,2.00,0.238678,0.177439,0.075723,0.289742,0.322542,0.238678
111111132,147,151,4.00,0,0,,,,2.00,0,0,0,0,0,0
111111132,2262,2272,10.00,0,0,,,,2.00,0,0,0,0,0,0
111111132,2280,2292,12.00,0,0,,,,3.00,0,0,0,0,0,0
111111132,4198,4249,51.00,0,0,her,,,2.00,0.638471,0.007727,0.062174,0.164414,0.445637,0.638471
111111132,4427,4497,70.00,0,0,,,,1.50,0.240298,0.158964,0.236981,0.223398,0.075374,0.240298
111111132,4307,4320,13.00,0,0,,,,1.00,0.59901,0.0,0.0,0.931034,0.857143,0.59901
111111132,4779,4787,8.00,0,0,,,,3.00,0,0,0,0,0,0
111111132,7582,7594,12.00,0,0,,,,2.00,0,0,0,0,0,0
111111132,8607,8630,23.00,0,0,,,,2.00,0.144548,0.185315,0.087573,0.077654,0.090723,0.144548
111111132,9597,9651,54.00,0,0,"George H.W. Bush, Faber",,,1.00,0.203492,0.250626,0.109706,0.095611,0.125471,0.203492
111111132,10340,10350,10.00,0,0,,,,2.00,0,0,0,0,0,0
111111132,10851,10860,9.00,0,0,,,,2.00,0,0,0,0,0,0
111111132,12045,12087,42.00,0,0,,,,1.00,0.161244,0.27128,0.059141,0.297074,0.11535,0.161244
111111132,5776,5811,35.00,1,0,,,,1.50,0.561207,0.012909,0.125601,0.071859,0.555153,0.561207
111111133,1224,1244,20.00,0,0,,,,2.00,0,0,0,0,0,0
111111133,2593,2606,13.00,0,0,,,,2.00,0,0,0,0,0,0
111111133,4159,4173,14.00,0,0,,,,2.00,0.462293,0.100336,0.110701,0.149517,0.238156,0.462293
111111133,358,367,9.00,0,0,,,,2.00,0,0,0,0,0,0
111111133,460,465,5.00,0,0,,,,2.00,0,0,0,0,0,0
111111133,504,507,3.00,0,0,,,,2.00,0,0,0,0,0,0
111111133,1070,1077,7.00,0,0,,,,1.00,0,0,0,0,0,0
111111133,2572,2589,17.00,0,0,,,,1.00,0.119677,0.130616,0.218128,0.110985,0.371058,0.119677
111111133,2625,2646,21.00,0,0,,,,1.00,0.363222,0.150504,0.173092,0.187568,0.088098,0.363222
111111133,2944,2950,6.00,0,0,,,,2.00,0,0,0,0,0,0
111111133,3830,3836,6.00,0,0,,,,2.00,0,0,0,0,0,0
111111134,945,984,39.00,0,0,,,,1.00,0.185497,0.01823,0.358594,0.331996,0.503248,0.185497
111111134,1415,1514,99.00,0,0,"Manafort, Assange",,,2.00,0.211048,0.463251,0.04803,0.168601,0.076145,0.211048
111111134,1225,1238,13.00,0,0,,,,2.00,0,0,0,0,0,0
111111134,2427,2457,30.00,0,0,,,,2.00,0.220408,0.059099,0.122134,0.235751,0.182451,0.220408
111111135,3262,3319,57.00,0,0,"his, Adolf Hitler",,,3.00,0.060468,0.656901,0.036265,0.129377,0.036012,0.060468
111111135,4580,4591,11.00,0,0,,,,2.00,0,0,0,0,0,0
111111135,543,683,140.00,0,0,,,,2.00,0.090719,0.031733,0.072616,0.796553,0.243353,0.090719
111111135,835,844,9.00,0,0,,,,2.00,0,0,0,0,0,0
111111135,1476,1484,8.00,0,0,,,,2.00,0,0,0,0,0,0
111111135,1929,2341,412.00,0,0,"Edward E. Curtis IV, Muhammad Ali, he",,,1.50,0.115405,0.611079,0.010399,0.208254,0.152882,0.115405
111111135,2984,3018,34.00,0,0,,,,2.00,0.2465,0.048555,0.228615,0.41741,0.23529,0.2465
111111135,3045,3084,39.00,0,0,,,,1.00,0.348451,0.151435,0.099089,0.292149,0.217361,0.348451
111111135,6524,6539,15.00,0,0,,,,3.00,0.1404,0.362466,0.103868,0.105794,0.094339,0.1404
111111135,6813,6839,26.00,0,0,,,,2.00,0.393946,0.205325,0.137511,0.038019,0.089327,0.393946
111111135,7009,7036,27.00,0,0,,,,4.00,0.153973,0.148751,0.07021,0.272952,0.096671,0.153973
111111135,4433,4498,65.00,0,0,"Tamika Mallory, Danny Davis, him",,,1.00,0.086487,0.159779,0.068901,0.04575,0.076689,0.086487
111111135,7134,7153,19.00,0,0,,,,1.00,0.151545,0.174219,0.093654,0.072945,0.08686,0.151545
111111136,1243,1254,11.00,0,0,,,,2.00,0,0,0,0,0,0
111111136,1874,2026,152.00,0,0,,,Sweden,3.00,0.077735,0.787288,0.043723,0.024976,0.017106,0.077735
111111137,2321,2332,11.00,0,0,,,,2.00,0,0,0,0,0,0
111111137,143,183,40.00,0,0,,,US,0.00,0.470839,0.014154,0.392355,0.262426,0.21493,0.470839
111111137,2058,2065,7.00,0,0,,,,2.00,0,0,0,0,0,0
694327499,9221,9252,31.00,0,0,,,,2.00,0.077068,0.062317,0.159822,0.567292,0.334657,0.077068
694327499,11470,11662,192.00,0,0,"his, he",,,3.00,0.185806,0.333886,0.052685,0.15936,0.459969,0.185806
694327499,1366,1503,137.00,0,1,,,,1.00,0.315103,0.197751,0.161136,0.333738,0.18176,0.315103
694327499,2798,2874,76.00,0,0,"Goldstein, Fastiggi",,,1.00,0.269394,0.095116,0.168153,0.367067,0.246656,0.269394
694327499,3032,3055,23.00,0,0,,,,3.00,0.106128,0.142192,0.066414,0.282727,0.168137,0.106128
694327499,3656,3688,32.00,0,0,,,,2.00,0.098261,0.040957,0.048404,0.409732,0.525051,0.098261
694327499,4811,4934,123.00,0,0,,,,1.00,0.202303,0.10637,0.222962,0.059711,0.178417,0.202303
694327499,4944,4979,35.00,0,0,,,,2.00,0.182103,0.011261,0.013036,0.375055,0.687554,0.182103
694327499,5950,6080,130.00,0,0,,,,1.00,0.581509,0.032139,0.124464,0.288399,0.207721,0.581509
694327499,6320,6343,23.00,0,0,,,,2.00,0.098156,0.165087,0.078689,0.057097,0.060653,0.098156
694327499,9393,9409,16.00,0,0,,,,2.00,0,0,0,0,0,0
694327499,9630,9695,65.00,0,0,Bergoglio,,,1.00,0.346567,0.004522,0.20704,0.124601,0.624036,0.346567
694327499,11720,11770,50.00,0,0,,,,2.00,0.456947,0.24085,0.172937,0.036552,0.130634,0.456947
694327499,110,142,32.00,0,0,,,,2.00,0.32344,0.087934,0.079248,0.069634,0.150943,0.32344
694327499,6296,6318,22.00,0,0,,,,1.00,0.0,0.0,0.0,0.0,0.0,0.0
694356862,71,171,100.00,0,0,Barack Obama,,,1.00,0.137006,0.039638,0.645078,0.226986,0.165566,0.137006
694356862,820,830,10.00,0,0,,,,1.00,0,0,0,0,0,0
694356862,2377,2400,23.00,0,0,,,,3.00,0.027828,0.634828,0.119294,0.046608,0.180967,0.027828
694356862,4680,4691,11.00,0,0,,,,1.00,0,0,0,0,0,0
694356862,270,311,41.00,0,0,his,,,2.00,0.37359,0.185333,0.167944,0.116522,0.079486,0.37359
694356862,532,574,42.00,0,0,,ISIS,Iraq,2.00,0.174693,0.064548,0.139578,0.434004,0.424641,0.174693
694356862,713,795,82.00,0,0,,,Iraq,2.00,0.41695,0.046713,0.364565,0.1248,0.084245,0.41695
694356862,854,923,69.00,0,0,,,Iran,2.00,0.270151,0.178921,0.599536,0.03,0.09623,0.270151
694356862,2754,2768,14.00,0,0,,,,2.00,0,0,0,0,0,0
694356862,5069,5185,116.00,0,0,,,,1.00,0.320933,0.179091,0.194607,0.062329,0.180848,0.320933
694356862,5363,5431,68.00,0,0,Trump,,,2.00,0.045346,0.494625,0.093684,0.020851,0.037889,0.045346
694811415,274,321,47.00,0,0,,,,1.00,0.260298,0.070592,0.054146,0.4026,0.049868,0.260298
694811415,854,913,59.00,0,0,,,,1.00,0.455692,0.240638,0.117803,0.151768,0.132506,0.455692
694811415,1013,1112,99.00,0,0,,,,1.00,0.158089,0.066399,0.478285,0.315448,0.340466,0.158089
694811415,1629,1719,90.00,0,0,,,,1.00,0.183692,0.004021,0.705737,0.143822,0.308318,0.183692
694811415,498,546,48.00,0,0,,,,1.00,0.3249,0.085401,0.053427,0.181292,0.462794,0.3249
694811415,1,23,22.00,0,0,,,,3.00,0.166008,0.106585,0.108203,0.007516,0.164109,0.166008
695833178,1992,2105,113.00,1,0,,,,3.00,0.348783,0.018177,0.202059,0.279771,0.51637,0.348783
695833178,364,405,41.00,0,0,,ISIS,,2.00,0.234301,0.109617,0.128292,0.284594,0.15829,0.234301
695833178,546,625,79.00,0,0,Laura Loomer,,,3.00,0.349762,0.059769,0.038668,0.485109,0.304605,0.349762
695833178,2420,2439,19.00,0,0,,,,2.00,0.319678,0.184065,0.24666,0.16217,0.089651,0.319678
695833178,76,103,27.00,1,0,,,,2.00,0.461286,0.034731,0.355842,0.071484,0.372423,0.461286
695833178,1040,1095,55.00,0,0,,FBI,,3.00,0.300448,0.014546,0.082403,0.477873,0.385881,0.300448
695833178,837,955,118.00,0,0,"Loomer, she",,,1.00,0.089623,0.314868,0.06523,0.018766,0.092467,0.089623
695833178,2510,2570,60.00,0,0,,,,1.00,0.071276,0.273536,0.080734,0.063044,0.146743,0.071276
696246189,861,883,22.00,0,0,,,,2.00,0.770009,0.003815,0.102111,0.093783,0.085397,0.770009
696246189,2552,2646,94.00,0,0,she,,,1.00,0.085357,0.02476,0.043461,0.765854,0.206465,0.085357
696246189,2848,2898,50.00,0,0,,,,2.00,0.429456,0.079768,0.076631,0.256352,0.082269,0.429456
696246189,3236,3277,41.00,0,0,,,,2.00,0.407658,0.090529,0.082347,0.449131,0.102097,0.407658
696264594,388,414,26.00,0,0,,BDS,,1.00,0.071206,0.004181,0.041332,0.249587,0.739658,0.071206
696264594,490,522,32.00,0,0,,,,2.00,0.06957,0.010949,0.173268,0.517532,0.595518,0.06957
696264594,899,972,73.00,0,0,,EU,US,2.00,0.383353,0.084798,0.330995,0.191921,0.226217,0.383353
696264594,1173,1208,35.00,0,0,,,,1.00,0.169164,0.174745,0.098709,0.110004,0.101252,0.169164
696264594,1313,1357,44.00,0,0,,Hezbollah,,2.00,0.055959,0.306654,0.420111,0.300071,0.035108,0.055959
696264594,3752,3766,14.00,0,0,,,,2.00,0.403761,0.105605,0.085289,0.424819,0.206349,0.403761
696264594,6029,6043,14.00,0,0,,,,2.00,0.916667,0.0,0.0,0.931034,0.931034,0.916667
696264594,6754,6784,30.00,0,0,,,,1.00,0.06957,0.010949,0.173268,0.517532,0.595518,0.06957
696264594,7337,7435,98.00,0,0,,"Hamas, BDS",Israel,1.00,0.155739,0.004602,0.220873,0.290815,0.605198,0.155739
696264594,3829,4015,186.00,0,0,,,,2.50,0.060938,0.199237,0.486553,0.374764,0.112154,0.060938
696264594,6201,6207,6.00,0,0,,,,2.00,0,0,0,0,0,0
696264594,7013,7040,27.00,0,0,,,,1.00,0.13888,0.563924,0.086516,0.074072,0.067173,0.13888
696694316,3471,4012,541.00,0,0,,,,1.00,0.195932,0.684711,0.069841,0.022447,0.07692,0.195932
696694316,603,662,59.00,0,0,,,,1.00,0.204459,0.075622,0.128843,0.607069,0.084355,0.204459
696694316,1020,1096,76.00,0,0,,,,2.00,0.416515,0.136988,0.217023,0.040401,0.03784,0.416515
696694316,3276,3380,104.00,0,0,Paul,,,3.00,0.113642,0.684407,0.028129,0.027345,0.141508,0.113642
696694316,4478,4501,23.00,0,0,,,,3.00,0.212198,0.077947,0.148362,0.489578,0.054749,0.212198
696694316,7026,7099,73.00,0,0,,,,2.00,0.585018,0.231501,0.139741,0.016381,0.13021,0.585018
696694316,7971,8297,326.00,0,0,Christ,,,1.00,0.196766,0.538022,0.063437,0.072643,0.120193,0.196766
696694316,8298,8642,344.00,0,0,Christ,Council of Trent,,2.00,0.112084,0.493744,0.093975,0.271244,0.170905,0.112084
696694316,9585,9821,236.00,0,0,Him,,,1.00,0.011046,0.533913,0.006946,0.218497,0.357538,0.011046
696694316,9373,9584,211.00,0,0,,,,1.00,0.279982,0.087017,0.295401,0.054928,0.528944,0.279982
696694316,11102,11127,25.00,0,0,,,,3.00,0.028323,0.879288,0.016283,0.014955,0.036903,0.028323
696694316,12634,12737,103.00,0,0,,,,1.00,0.191357,0.267556,0.342257,0.087091,0.168458,0.191357
696694316,13456,13557,101.00,0,0,,,,1.00,0.236824,0.291774,0.186458,0.060608,0.188299,0.236824
696694316,4376,4395,19.00,0,0,,,,1.00,0,0,0,0,0,0
696694316,10661,10866,205.00,0,0,,,,1.00,0.210508,0.384034,0.111221,0.221047,0.119547,0.210508
696694316,12738,12848,110.00,0,0,,,,1.00,0.526806,0.175835,0.290066,0.041412,0.058775,0.526806
696735702,2630,2685,55.00,0,0,,,,1.00,0.129638,0.021493,0.350057,0.318579,0.528328,0.129638
696735702,1115,1141,26.00,0,0,,,,3.00,0.60384,0.12851,0.067605,0.08636,0.222688,0.60384
696735702,3585,3632,47.00,0,0,,,,2.00,0.084579,0.555719,0.114978,0.01781,0.058236,0.084579
697063039,1975,2072,97.00,0,0,,,,1.00,0.607267,0.252956,0.128585,0.039345,0.093808,0.607267
697063039,1160,1220,60.00,0,0,,,,1.00,0.31926,0.136024,0.106719,0.165754,0.098075,0.31926
697063039,1375,1413,38.00,0,0,,,,2.00,0.210014,0.010559,0.248732,0.022916,0.684342,0.210014
697063039,1824,1853,29.00,0,0,,,,2.00,0.150835,0.318641,0.208042,0.06268,0.07348,0.150835
697063039,115,120,5.00,0,0,,,,2.00,0,0,0,0,0,0
697063039,142,152,10.00,0,0,,,,1.00,0,0,0,0,0,0
697063039,1226,1346,120.00,0,0,,,,2.00,0.291634,0.033334,0.300404,0.301118,0.082545,0.291634
697444415,512,539,27.00,0,0,,,,2.00,0.494466,0.05207,0.118888,0.414118,0.159451,0.494466
697444415,1471,1598,127.00,0,0,he,,,2.00,0.142092,0.0919,0.094282,0.486952,0.330862,0.142092
697444415,2815,2860,45.00,0,0,,,,3.00,0.182269,0.326363,0.167575,0.146895,0.124391,0.182269
697444415,2959,3024,65.00,0,0,,,,2.00,0.204958,0.417896,0.246887,0.043717,0.087436,0.204958
697454736,8030,8056,26.00,0,0,Francis,,,2.00,0.148831,0.179551,0.091248,0.074744,0.088473,0.148831
697454736,599,752,153.00,0,0,"Ferrara, his",,,1.50,0.131485,0.477223,0.090388,0.034243,0.086401,0.131485
697454736,3216,3400,184.00,0,0,"Francis, he",,,3.00,0.115056,0.635793,0.098326,0.074359,0.123806,0.115056
697454736,4856,5045,189.00,0,0,"his, Fastiggi, Buttiglione",,,3.00,0.477151,0.228103,0.098011,0.089183,0.311009,0.477151
697454736,7080,7178,98.00,0,0,,,,1.00,0.547057,0.044301,0.096109,0.214813,0.341639,0.547057
697454736,7417,7446,29.00,0,0,,,,3.00,0.135765,0.511305,0.068445,0.025026,0.024359,0.135765
697454736,8140,8197,57.00,0,0,,,,3.00,0.131014,0.471723,0.101317,0.033076,0.021321,0.131014
697454736,8793,8976,183.00,0,0,"He, he",,,1.00,0.519887,0.087272,0.206016,0.121807,0.261687,0.519887
697454736,9555,9693,138.00,0,0,,,,1.00,0.130558,0.317833,0.08587,0.170858,0.249649,0.130558
697454736,10671,10952,281.00,1,0,"Ferrara, Pope Francis, him",Church,,1.00,0.217856,0.138371,0.114811,0.32179,0.400694,0.217856
697454736,11963,12027,64.00,0,0,Fastiggi,,,1.00,0.151045,0.224219,0.126955,0.049419,0.092051,0.151045
697454736,12492,12645,153.00,0,0,,,,0.00,0.182609,0.190231,0.062274,0.045761,0.097454,0.182609
697454736,12874,13040,166.00,0,0,"Fastiggi, he",,,1.00,0.242539,0.120762,0.535442,0.156529,0.198291,0.242539
697454736,7761,7777,16.00,0,0,,,,2.00,0.46774,0.070434,0.0858,0.046132,0.278065,0.46774
697454736,10597,10632,35.00,0,0,,Leviathan Church,,2.00,0.222726,0.150863,0.51879,0.250403,0.112568,0.222726
697472447,3600,3641,41.00,1,0,,,,2.00,0.188645,0.209789,0.046211,0.096593,0.137199,0.188645
697472447,2430,2530,100.00,0,0,,FBI,,1.00,0.26112,0.073271,0.116487,0.49547,0.325094,0.26112
697472447,3397,3460,63.00,1,0,,,,1.00,0.274128,0.248993,0.143853,0.130372,0.094917,0.274128
697959084,2647,2665,18.00,0,0,,,,2.00,0.748192,0.073746,0.163082,0.094202,0.100586,0.748192
697959084,128,157,29.00,0,0,,,,3.00,0.127452,0.052932,0.088353,0.0699,0.085022,0.127452
697959084,1688,1792,104.00,0,0,,FBI,,1.00,0.300677,0.022362,0.204528,0.548917,0.256176,0.300677
697959084,2783,2857,74.00,0,0,,,,1.00,0.598034,0.035404,0.045849,0.277046,0.333779,0.598034
697959084,2914,2988,74.00,1,0,,,,2.00,0.199869,0.15081,0.086692,0.162241,0.406165,0.199869
697996062,94,108,14.00,0,0,,,,2.00,0,0,0,0,0,0
697996062,427,469,42.00,0,0,,,,3.00,0.201979,0.263839,0.136045,0.067886,0.11664,0.201979
698018235,1659,1883,224.00,0,0,,,,2.00,0.413819,0.104544,0.237194,0.141528,0.357488,0.413819
698018235,2917,3002,85.00,0,0,,,,1.00,0.605202,0.014635,0.077013,0.198458,0.404891,0.605202
